id	event_name	main_title	created_at	last_updated_at	closed_at	status	source_count	importance_score	publish_status	failure_reason	failure_details	attempt_count	first_attempt_at	last_attempt_at	recovered	attempts_before_success	attempt_history
24321	Rybakina Survives Pegula Rally To Set Up	Rybakina survives Pegula rally to set up Sabalenka rematch in Australian Open final	2026-01-29 14:07:02.737038+00	2026-01-29 14:11:09.682721+00		active	1	750	published			1	2026-01-29 14:10:35.593802+00	2026-01-29 14:11:09.294629+00	FALSE		[{"at": "2026-01-29T14:10:35.593802", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:11:09.294629", "reason": null, "status": "published", "attempt": 1}]
24320	Tara Kangarlou: 'Iranians Took To The Streets	Tara Kangarlou: 'Iranians took to the streets with their bare hands and crushed with brutal force'	2026-01-29 14:07:00.900028+00	2026-01-29 14:19:24.934154+00		active	2	750	failed	no_image	No usable image found and AI generation failed	2	2026-01-29 14:10:10.174215+00	2026-01-29 14:19:24.350552+00	FALSE		[{"at": "2026-01-29T14:10:10.174215", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:10:35.008734", "reason": "no_image", "status": "failed", "attempt": 1}, {"at": "2026-01-29T14:18:49.955296", "reason": null, "status": "processing", "attempt": 2}, {"at": "2026-01-29T14:19:24.350552", "reason": "no_image", "status": "failed", "attempt": 2}]
24319	Replay: Trump "Border Czar"S" Minneapolis Address To	Replay: Trump "border czar"s" Minneapolis address to journalists and FRANCE 24's analysis	2026-01-29 14:06:59.077626+00	2026-01-29 14:10:10.085206+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-01-29 14:09:46.242173+00	2026-01-29 14:10:09.764894+00	FALSE		[{"at": "2026-01-29T14:09:46.242173", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:10:09.764894", "reason": "no_content", "status": "failed", "attempt": 1}]
24318	Responders Recall A Mission Of Recovery And	Responders recall a mission of recovery and grief a year after the midair collision near DC	2026-01-29 14:06:57.299099+00	2026-01-29 14:09:44.365706+00		active	1	750	published			1	2026-01-29 14:09:04.765408+00	2026-01-29 14:09:44.025023+00	FALSE		[{"at": "2026-01-29T14:09:04.765408", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:09:44.025023", "reason": null, "status": "published", "attempt": 1}]
24317	Andrew Yang Says He Was Blacklisted By	Andrew Yang says he was blacklisted by Kamala Harris’s team for ‘disrespecting’ Joe Biden	2026-01-29 14:06:55.5094+00	2026-01-29 14:09:02.8281+00		active	1	750	published			1	2026-01-29 14:08:39.332777+00	2026-01-29 14:09:02.485998+00	FALSE		[{"at": "2026-01-29T14:08:39.332777", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:09:02.485998", "reason": null, "status": "published", "attempt": 1}]
24316	U.S. Trade Deficit Bounces Back As Tariffs	U.S. Trade Deficit Bounces Back as Tariffs Cause Volatility	2026-01-29 14:06:52.996517+00	2026-01-29 14:16:38.320272+00		active	2	750	published			1	2026-01-29 14:07:32.159899+00	2026-01-29 14:08:04.352615+00	FALSE		[{"at": "2026-01-29T14:07:32.159899", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:08:04.352615", "reason": null, "status": "published", "attempt": 1}]
24315	Indigenous Leaders Urge Citizens To Carry Status	Indigenous leaders urge citizens to carry status cards or tribal IDs in U.S.	2026-01-29 13:57:00.0954+00	2026-01-29 14:06:33.966672+00		active	1	750	published			1	2026-01-29 14:06:08.145266+00	2026-01-29 14:06:33.662869+00	FALSE		[{"at": "2026-01-29T14:06:08.145266", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:06:33.662869", "reason": null, "status": "published", "attempt": 1}]
24314	Trump’S Ukraine Peace Ambitions Threatened By Stubborn	Trump’s Ukraine peace ambitions threatened by stubborn realities	2026-01-29 13:56:56.605174+00	2026-01-29 14:06:02.973138+00		active	1	750	published			1	2026-01-29 14:05:26.18906+00	2026-01-29 14:06:02.669623+00	FALSE		[{"at": "2026-01-29T14:05:26.189060", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:06:02.669623", "reason": null, "status": "published", "attempt": 1}]
24313	Mexico Avoids Giving Details About Oil Shipments	Mexico avoids giving details about oil shipments to Cuba	2026-01-29 13:56:53.937935+00	2026-01-29 14:05:21.264742+00		active	1	750	published			1	2026-01-29 14:04:42.003478+00	2026-01-29 14:05:20.898142+00	FALSE		[{"at": "2026-01-29T14:04:42.003478", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:05:20.898142", "reason": null, "status": "published", "attempt": 1}]
24312	How Big A Threat Is Ai To	How big a threat is AI to entry-level jobs?	2026-01-29 13:56:52.151651+00	2026-01-29 14:04:41.913922+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:04:19.7867+00	2026-01-29 14:04:41.566792+00	FALSE		[{"at": "2026-01-29T14:04:19.786700", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:04:41.566792", "reason": "no_image", "status": "failed", "attempt": 1}]
24311	How Ibm Became An Ai Darling	How IBM became an AI darling	2026-01-29 13:56:50.373939+00	2026-01-29 14:04:19.705444+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:04:05.499624+00	2026-01-29 14:04:19.384696+00	FALSE		[{"at": "2026-01-29T14:04:05.499624", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:04:19.384696", "reason": "no_image", "status": "failed", "attempt": 1}]
24310	The Gulf’S Family Businesses Have A Growing	The Gulf’s family businesses have a growing succession problem	2026-01-29 13:56:48.788129+00	2026-01-29 14:04:05.408951+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:03:43.021183+00	2026-01-29 14:04:04.09477+00	FALSE		[{"at": "2026-01-29T14:03:43.021183", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:04:04.094770", "reason": "no_image", "status": "failed", "attempt": 1}]
24309	Don’T Be Fooled. Ai Bosses Are Regular	Don’t be fooled. AI bosses are regular capitalists	2026-01-29 13:56:47.027753+00	2026-01-29 14:03:42.94256+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:03:25.909807+00	2026-01-29 14:03:42.634955+00	FALSE		[{"at": "2026-01-29T14:03:25.909807", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:03:42.634955", "reason": "no_image", "status": "failed", "attempt": 1}]
24308	Exclusive: Escape Velocity Raises A $62 Million	Exclusive: Escape Velocity raises a $62 million fund to bet on ‘DePIN’ crypto networks for telescopes, solar energy, and more	2026-01-29 13:56:45.404406+00	2026-01-29 14:03:25.830573+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:03:04.075351+00	2026-01-29 14:03:25.521107+00	FALSE		[{"at": "2026-01-29T14:03:04.075351", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:03:25.521107", "reason": "no_image", "status": "failed", "attempt": 1}]
24307	Hong Kong Travellers Continue To Favour Japan	Hong Kong travellers continue to favour Japan despite geopolitical tensions	2026-01-29 13:56:43.430765+00	2026-01-29 14:03:01.543421+00		active	1	750	published			1	2026-01-29 14:02:35.175157+00	2026-01-29 14:03:01.217165+00	FALSE		[{"at": "2026-01-29T14:02:35.175157", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:03:01.217165", "reason": null, "status": "published", "attempt": 1}]
24306	Is This Where Aliens Are Hiding? Nasa	Is THIS where aliens are hiding? NASA discovers an exoplanet 146 light-years away that's 'remarkably similar to Earth' - and it could be habitable	2026-01-29 13:56:41.693222+00	2026-01-29 14:02:35.089102+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-01-29 14:02:29.007747+00	2026-01-29 14:02:34.774435+00	FALSE		[{"at": "2026-01-29T14:02:29.007747", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:02:34.774435", "reason": "no_content", "status": "failed", "attempt": 1}]
24305	Irs Owes Some Taxpayers Refunds For Pandemic-Era	IRS owes some taxpayers refunds for pandemic-era penalty tax relief, watchdog audit finds	2026-01-29 13:56:40.194802+00	2026-01-29 14:02:28.90661+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-01-29 14:02:20.438674+00	2026-01-29 14:02:28.582677+00	FALSE		[{"at": "2026-01-29T14:02:20.438674", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:02:28.582677", "reason": "no_content", "status": "failed", "attempt": 1}]
24304	‘Climate Of Fear’: Ice Violence In Minnesota	‘Climate of fear’: ICE violence in Minnesota forces CEOs to weigh the risks of speaking out against Trump	2026-01-29 13:56:38.348924+00	2026-01-29 14:02:20.344789+00		active	1	750	failed	no_content	All 1 sources blocked or failed to fetch	1	2026-01-29 14:02:15.271471+00	2026-01-29 14:02:19.9754+00	FALSE		[{"at": "2026-01-29T14:02:15.271471", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:02:19.975400", "reason": "no_content", "status": "failed", "attempt": 1}]
24303	Tom Homan Reveals New Ice Agreement With	Tom Homan Reveals New ICE Agreement With Keith Ellison	2026-01-29 13:56:35.881367+00	2026-01-29 14:02:12.081089+00		active	1	750	published			1	2026-01-29 14:01:36.778787+00	2026-01-29 14:02:11.608254+00	FALSE		[{"at": "2026-01-29T14:01:36.778787", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:02:11.608254", "reason": null, "status": "published", "attempt": 1}]
24302	Russia Investigates Care Home Deaths In New	Russia investigates care home deaths in new Siberian health scandal	2026-01-29 13:56:34.003669+00	2026-01-29 14:01:36.693643+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:01:24.77365+00	2026-01-29 14:01:36.389271+00	FALSE		[{"at": "2026-01-29T14:01:24.773650", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:01:36.389271", "reason": "no_image", "status": "failed", "attempt": 1}]
24301	‘We'Re Tired Of Counting Damages’: Call For	‘We're tired of counting damages’: Call for climate funds after landslide devastates Sicilian town	2026-01-29 13:56:32.095893+00	2026-01-29 14:01:24.689679+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 14:01:03.21364+00	2026-01-29 14:01:24.382467+00	FALSE		[{"at": "2026-01-29T14:01:03.213640", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:01:24.382467", "reason": "no_image", "status": "failed", "attempt": 1}]
24300	Elon Musk Just Killed Two Of Tesla’S	Elon Musk just killed two of Tesla’s most famous cars to focus on ‘biggest product of all time’	2026-01-29 13:56:30.612613+00	2026-01-29 14:01:03.106475+00		active	1	750	skipped	duplicate	Duplicate detected: duplicate_title	1	2026-01-29 14:00:40.082288+00	2026-01-29 14:01:02.799516+00	FALSE		[{"at": "2026-01-29T14:00:40.082288", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:01:02.799516", "reason": "duplicate", "status": "skipped", "attempt": 1}]
24299	Politician Convicted For Repeatedly Shooting At Poster	Politician convicted for repeatedly shooting at poster of baby Jesus	2026-01-29 13:56:28.684634+00	2026-01-29 14:00:39.985863+00		active	1	750	skipped	duplicate	Duplicate detected: duplicate_title	1	2026-01-29 14:00:17.851574+00	2026-01-29 14:00:39.665528+00	FALSE		[{"at": "2026-01-29T14:00:17.851574", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:00:39.665528", "reason": "duplicate", "status": "skipped", "attempt": 1}]
24298	China Visa For Uk Holidaymakers Could Be	China visa for UK holidaymakers could be dropped as early as Monday, says top tour operator	2026-01-29 13:56:25.939361+00	2026-01-29 14:00:12.772651+00		active	1	750	published			1	2026-01-29 13:58:54.918547+00	2026-01-29 14:00:12.395997+00	FALSE		[{"at": "2026-01-29T13:58:54.918547", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T14:00:12.395997", "reason": null, "status": "published", "attempt": 1}]
24297	Trump Says Jerome Powell Is ‘Hurting Our	Trump says Jerome Powell is ‘hurting our country’ as president finally weighs in on Fed’s plan for interest rates	2026-01-29 13:56:23.569215+00	2026-01-29 13:58:17.817803+00		active	1	750	published			1	2026-01-29 13:57:53.600148+00	2026-01-29 13:58:17.512495+00	FALSE		[{"at": "2026-01-29T13:57:53.600148", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T13:58:17.512495", "reason": null, "status": "published", "attempt": 1}]
24296	Shoplifter Killed Asda Security Guard During Struggle	Shoplifter killed Asda security guard during struggle over alcohol	2026-01-29 13:56:21.583212+00	2026-01-29 13:57:51.745053+00		active	1	750	published			1	2026-01-29 13:57:24.960157+00	2026-01-29 13:57:51.429276+00	FALSE		[{"at": "2026-01-29T13:57:24.960157", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T13:57:51.429276", "reason": null, "status": "published", "attempt": 1}]
24295	Hereditary Peer Banned From House Of Lords	Hereditary peer banned from House of Lords	2026-01-29 13:56:19.631311+00	2026-01-29 13:57:24.870358+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 13:57:08.397743+00	2026-01-29 13:57:24.537926+00	FALSE		[{"at": "2026-01-29T13:57:08.397743", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T13:57:24.537926", "reason": "no_image", "status": "failed", "attempt": 1}]
24294	Ai-Based Tool Improves The Quality Of Radiation	AI-based tool improves the quality of radiation therapy plans for cancer treatment	2026-01-29 13:46:00.855651+00	2026-01-29 13:49:37.170408+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 13:49:13.479082+00	2026-01-29 13:49:36.854362+00	FALSE		[{"at": "2026-01-29T13:49:13.479082", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T13:49:36.854362", "reason": "no_image", "status": "failed", "attempt": 1}]
24293	Border Czar Tom Homan Vows To Stay	Border czar Tom Homan vows to stay in Minnesota 'until the problem's gone'	2026-01-29 13:45:58.205929+00	2026-01-29 13:49:11.2812+00		active	1	750	published			1	2026-01-29 13:48:03.408994+00	2026-01-29 13:49:10.899909+00	FALSE		[{"at": "2026-01-29T13:48:03.408994", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T13:49:10.899909", "reason": null, "status": "published", "attempt": 1}]
24292	The 1999 Protest That Kicked Off Today&#039;S	The 1999 Protest That Kicked Off Today&#039;s Changing World Order	2026-01-29 13:45:55.894889+00	2026-01-29 13:48:03.306894+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 13:47:47.67121+00	2026-01-29 13:48:02.981838+00	FALSE		[{"at": "2026-01-29T13:47:47.671210", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T13:48:02.981838", "reason": "no_image", "status": "failed", "attempt": 1}]
24291	List Of Billionaires, Banks And Businesses Contributing	List of Billionaires, Banks and Businesses Contributing to Trump Accounts	2026-01-29 13:45:54.217907+00	2026-01-29 13:47:47.562277+00		active	1	750	skipped	duplicate	Duplicate detected: duplicate_title	1	2026-01-29 13:47:22.047793+00	2026-01-29 13:47:47.220528+00	FALSE		[{"at": "2026-01-29T13:47:22.047793", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T13:47:47.220528", "reason": "duplicate", "status": "skipped", "attempt": 1}]
24290	Delta’S Focus On People And Performance Is	Delta’s Focus on People and Performance Is Paying Off	2026-01-29 13:45:52.510589+00	2026-01-29 13:47:21.952599+00		active	1	750	failed	no_image	No usable image found and AI generation failed	1	2026-01-29 13:47:09.674468+00	2026-01-29 13:47:21.637682+00	FALSE		[{"at": "2026-01-29T13:47:09.674468", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T13:47:21.637682", "reason": "no_image", "status": "failed", "attempt": 1}]
24289	Taxpayers Issued Warning For 2026 Irs Filing	Taxpayers Issued Warning For 2026 IRS Filing Season	2026-01-29 13:45:50.852974+00	2026-01-29 13:47:07.436851+00		active	1	750	published			1	2026-01-29 13:46:44.865969+00	2026-01-29 13:47:07.101979+00	FALSE		[{"at": "2026-01-29T13:46:44.865969", "reason": null, "status": "processing", "attempt": 1}, {"at": "2026-01-29T13:47:07.101979", "reason": null, "status": "published", "attempt": 1}]
